Sensor Name,Action,Time Stamp - Game clock,Time Stamp - Real clock
Bedroom1,Actor is moving,07:05,27-08-2020 17:02:12
Bedroom 2,Actor is moving,07:20,27-08-2020 17:02:27
Bedroom 2,Actor is moving,07:25,27-08-2020 17:02:32
Masterbedroom,Actor is moving,07:35,27-08-2020 17:02:42
tiolet,Actor is moving,07:40,27-08-2020 17:02:47
tiolet,Actor is moving,07:45,27-08-2020 17:02:52
Bedroom1,Actor is moving,07:50,27-08-2020 17:02:57
Balcony,Actor is moving,08:10,27-08-2020 17:03:17
Balcony,Actor is moving,08:15,27-08-2020 17:03:22
Balcony,Actor is moving,08:40,27-08-2020 17:03:47
Bedroom 2,Actor is moving,09:00,27-08-2020 17:04:08
Bedroom 2,Actor is moving,09:05,27-08-2020 17:04:13
Hall,Actor is moving,09:20,27-08-2020 17:04:28
Kitchen,Actor is moving,09:25,27-08-2020 17:04:33
tiolet,Actor is moving,07:05,27-08-2020 17:09:46
Bedroom1,Actor is moving,07:15,27-08-2020 17:09:57
Hall,Actor is moving,07:40,27-08-2020 17:10:23
Hall,Actor is moving,08:05,27-08-2020 17:10:48
Kitchen,Actor is moving,08:15,27-08-2020 17:10:58
Bedroom 2,Actor is moving,09:00,27-08-2020 17:11:43
Bedroom 2,Actor is moving,09:05,27-08-2020 17:11:48
Bedroom 2,Actor is moving,09:30,27-08-2020 17:12:13
Masterbedroom,Actor is moving,09:40,27-08-2020 17:12:23
tiolet,Actor is moving,09:45,27-08-2020 17:12:28
tiolet,Actor is moving,09:50,27-08-2020 17:12:33
tiolet,Actor is moving,10:05,27-08-2020 17:12:48
tiolet,Actor is moving,10:35,27-08-2020 17:13:18
tiolet,Actor is moving,10:40,27-08-2020 17:13:23
tiolet,Actor is moving,11:05,27-08-2020 17:13:48
Masterbedroom,Actor is moving,11:10,27-08-2020 17:13:53
Masterbedroom,Actor is moving,11:15,27-08-2020 17:13:58
Bedroom 2,Actor is moving,11:25,27-08-2020 17:14:08
tiolet,Actor is moving,11:55,27-08-2020 17:14:38
Hall,Actor is moving,12:30,27-08-2020 17:15:13
Hall,Actor is moving,13:00,27-08-2020 17:15:43
Hall,Actor is moving,13:25,27-08-2020 17:16:08
Kitchen,Actor is moving,13:30,27-08-2020 17:16:13
Bedroom1,Actor is moving,14:15,27-08-2020 17:16:58
Bedroom1,Actor is moving,14:30,27-08-2020 17:17:13
Hall,Actor is moving,14:50,27-08-2020 17:17:33
Kitchen,Actor is moving,14:55,27-08-2020 17:17:38
Hall,Actor is moving,15:20,27-08-2020 17:18:03
Bedroom 2,Actor is moving,15:40,27-08-2020 17:18:23
Bedroom 2,Actor is moving,16:05,27-08-2020 17:18:51
tiolet,Actor is moving,16:10,27-08-2020 17:18:56
tiolet,Actor is moving,16:15,27-08-2020 17:19:01
Bedroom1,Actor is moving,16:45,27-08-2020 17:19:31
tiolet,Actor is moving,16:55,27-08-2020 17:19:41
tiolet,Actor is moving,17:10,27-08-2020 17:19:56
Bedroom1,Actor is moving,17:15,27-08-2020 17:20:01
Bedroom1,Actor is moving,17:20,27-08-2020 17:20:06
Hall,Actor is moving,17:35,27-08-2020 17:20:21
Hall,Actor is moving,18:20,27-08-2020 17:21:06
Kitchen,Actor is moving,18:25,27-08-2020 17:21:11
Hall,Actor is moving,18:50,27-08-2020 17:21:36
Bedroom1,Actor is moving,19:05,27-08-2020 17:21:51
Bedroom1,Actor is moving,19:15,27-08-2020 17:22:01
Kitchen,Actor is moving,19:40,27-08-2020 17:22:26
Kitchen,Actor is moving,20:00,27-08-2020 17:22:46
Hall,Actor is moving,20:05,27-08-2020 17:22:51
Masterbedroom,Actor is moving,20:25,27-08-2020 17:23:11
Masterbedroom,Actor is moving,20:30,27-08-2020 17:23:16
Masterbedroom,Actor is moving,20:55,27-08-2020 17:23:43
Masterbedroom,Actor is moving,21:00,27-08-2020 17:23:48
Masterbedroom,Actor is moving,21:05,27-08-2020 17:23:53
Masterbedroom,Actor is moving,21:10,27-08-2020 17:23:58
